genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,Buenaventura,Colombia,Envigado,Milán-vallejuelos,3,Soltero(a),Coomeva EPS,Urbana,Básica secundaria,Estudiante básica,A pie,Sancionado,2017-01-19 10:00:00,DIURNA,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),2017-2,SEMESTRE 2,23,0,2017,2,0,0,2017.0,1.0,1.0
Masculino,Itagui,Colombia,Envigado,Zona Centro,3,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Graduado,2018-12-11 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2020-1,SEMESTRE 2,21,0,2020,1,0,0,2018.0,12.0,0.0
Masculino,Medellín,Colombia,Envigado,Zuñiga,2,Soltero(a),EPS Sura,Urbana,Media,Estudiante superior,Transporte público,Inactivo,2020-01-17 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2020-1,SEMESTRE 1,27,0,2020,1,0,0,2020.0,1.0,1.0
Femenino,Aguadas,Colombia,Envigado,La Magnolia,3,Soltero(a),Colsanitas,Urbana,Media,Empleado,Transporte público,Sin estado,,NOCHE,14T-TÉCNICO LABORAL EN CONTABILIDAD,,,25,0,,,0,0,,,
Femenino,Medellín,Colombia,Envigado,La Magnolia,3,Soltero(a),EPS Sura,Urbana,,Estudiante básica,A pie,Inactivo,2021-09-21 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,15,1,2021,2,0,0,2021.0,9.0,0.0
Masculino,Itagui,Colombia,Medellín,,3,Unión libre,E.P.S. Programa Comfenalco Antioquia,Urbana,Básica secundaria,Empleado,A pie,Inactivo,2017-07-18 10:00:00,NOCHE,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),2017-2,SEMESTRE 1,22,0,2017,2,0,0,2017.0,7.0,1.0
Masculino,Betania,Colombia,Itagui,San Pio X,3,Soltero(a),,Urbana - rural,Media,Empleado,Automóvil,Inactivo,2015-02-03 10:00:00,DIURNA,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),2015-2,SEMESTRE 2,28,0,2015,2,0,0,2015.0,2.0,1.0
Masculino,Envigado,Colombia,Envigado,San Rafael,2,Soltero(a),Savia Salud,Urbana,,Estudiante básica,A pie,Activo,2021-09-06 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,17,1,2021,2,0,0,2021.0,9.0,0.0
Masculino,Medellín,Colombia,Envigado,Bucarest,3,Soltero(a),Médico Preventiva,Urbana,Básica secundaria,Estudiante superior,A pie,Activo,2021-01-28 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2021-2,SEMESTRE 2,18,0,2021,2,0,0,2021.0,1.0,0.0
Masculino,Envigado,Colombia,Envigado,San José,3,Soltero(a),Servimedicos,Urbana,Media,Desempleado,Moto,Sin estado,,NOCHE,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,,,25,0,,,0,0,,,
