genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,29,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Desempleado,Savia Salud,Envigado,57.6,Media,Perfil 2
Masculino,21,14T-TÉCNICO LABORAL EN CONTABILIDAD,DIURNA,Independiente,EPS Sura,Envigado,57.5,Media,Perfil 2
Masculino,26,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Estudiante básica,EPS Sura,Envigado,57.5,Media,Perfil 1
Masculino,25,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante básica,Coomeva EPS,Envigado,57.5,Media,Perfil 1
Masculino,23,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,NOCHE,Estudiante superior,SISBEN,Envigado,57.4,Media,Perfil 2
Masculino,24,14T-TÉCNICO LABORAL EN CONTABILIDAD,NOCHE,Estudiante básica,EPS Sura,Envigado,57.4,Media,Perfil 1
Masculino,18,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),DIURNA,Desempleado,EPS Sura,Envigado,57.4,Media,Perfil 2
Masculino,20,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante superior,Sin registro,Envigado,57.4,Media,Perfil 1
Masculino,17,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Estudiante superior,Sin registro,Envigado,57.3,Media,Perfil 3
Masculino,26,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Envigado,57.3,Media,Perfil 2
Masculino,33,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Independiente,EPS Sura,Envigado,57.3,Media,Perfil 2
Masculino,30,05-V-Técnico Laboral Auxiliar en Ciberseguridad (50% Modalidad Distancia),NOCHE,Desempleado,Suramericana,Envigado,57.3,Media,Perfil 1
Masculino,26,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Independiente,EPS Sura,Envigado,57.3,Media,Perfil 3
Masculino,32,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Estudiante superior,SISBEN,Envigado,57.3,Media,Perfil 2
Masculino,33,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Empleado,Sanitas EPS,Envigado,57.3,Media,Perfil 3
Masculino,16,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Sin registro,Nueva Promotora de Salud - Nueva EPS,Envigado,57.3,Media,Perfil 2
Masculino,24,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),NOCHE,Estudiante superior,EPS Sura,Envigado,57.2,Media,Perfil 3
Femenino,55,EXTENSIÓN - BIOSEGURIDAD,DIURNA,Empleado,Sin registro,Envigado,57.2,Media,Perfil 1
Masculino,31,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Independiente,SISBEN,Envigado,57.2,Media,Perfil 3
Masculino,31,37 - TÉCNICO POR COMPETENCIAS ASISTENTE EN ENTRENAMIENTO FÍSICO Y DEPORTIVO,DIURNA,Sin registro,EPS Sura,Envigado,57.2,Media,Perfil 2
Femenino,16,MEDIA TECNICA MARKETING DIGITAL,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,57.2,Media,Perfil 1
Masculino,17,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Desempleado,Salud Total EPS,Envigado,57.2,Media,Perfil 2
Masculino,23,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Estudiante superior,Sin registro,Envigado,57.2,Media,Perfil 2
Femenino,31,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Empleado,EPS Sura,Envigado,57.2,Media,Perfil 2
Masculino,25,07T-TÉCNICO LABORAL EN ATENCION Y CUIDADO DE PERSONAS MAYORES,NOCHE,Desempleado,Savia Salud,Envigado,57.1,Media,Perfil 3
Masculino,47,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Independiente,Colsanitas,Envigado,57.1,Media,Perfil 1
Masculino,26,14T-TÉCNICO LABORAL EN CONTABILIDAD,NOCHE,Desempleado,Coomeva EPS,Envigado,57.1,Media,Perfil 1
Masculino,26,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Envigado,57.0,Media,Perfil 1
Masculino,25,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Estudiante básica,EPS Sura,Envigado,57.0,Media,Perfil 2
Masculino,26,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,DIURNA,Empleado,Savia Salud,Envigado,57.0,Media,Perfil 2
Masculino,22,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Desempleado,EPS Sura,Envigado,57.0,Media,Perfil 2
Masculino,33,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Desempleado,EPS Sura,Envigado,56.9,Media,Perfil 1
Masculino,32,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,56.9,Media,Perfil 1
Masculino,37,29T-TÉCNICO LABORAL EN PANADERIA Y REPOSTERIA,NOCHE,Independiente,EPS Sura,Envigado,56.9,Media,Perfil 1
Masculino,26,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Desempleado,EPS Sura,Envigado,56.9,Media,Perfil 2
Masculino,23,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,NOCHE,Independiente,EPS Sura,Envigado,56.8,Media,Perfil 1
Masculino,36,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Desempleado,EPS Sura,Envigado,56.8,Media,Perfil 2
Masculino,24,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,DIURNA,Independiente,EPS Sura,Envigado,56.8,Media,Perfil 1
Masculino,33,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Desempleado,EPS Sura,Envigado,56.8,Media,Perfil 2
Masculino,28,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Estudiante básica,SISBEN V2 - Nivel 1,Envigado,56.8,Media,Perfil 2
